order_no,customer_name,item_sku,qty_requested
ORD-2024-001,Acme Corporation,WIDGET-001,250
ORD-2024-001,Acme Corporation,GADGET-001,300
ORD-2024-002,TechCo Industries,WIDGET-002,120
ORD-2024-002,TechCo Industries,PART-002,150
ORD-2024-003,Global Manufacturing,MATERIAL-001,900
ORD-2024-003,Global Manufacturing,MATERIAL-002,500
ORD-2024-004,BuildRight Construction,TOOL-001,25
ORD-2024-004,BuildRight Construction,TOOL-002,15
ORD-2024-005,Premium Solutions,GADGET-002,50
ORD-2024-005,Premium Solutions,WIDGET-002,60
ORD-2024-006,SmallBiz Supplies,SUPPLY-001,100
ORD-2024-006,SmallBiz Supplies,SUPPLY-002,50
ORD-2024-007,MegaCorp Ltd,WIDGET-001,210
ORD-2024-007,MegaCorp Ltd,PART-001,350
ORD-2024-008,Innovative Tech,COMPONENT-001,200
ORD-2024-008,Innovative Tech,COMPONENT-002,300
ORD-2024-009,Local Retailer,GADGET-001,120
ORD-2024-009,Local Retailer,PART-001,200
ORD-2024-010,Enterprise Solutions,MATERIAL-001,800
ORD-2024-010,Enterprise Solutions,EQUIPMENT-001,20
ORD-2024-011,Tata Engineering,STEEL-001,900
ORD-2024-011,Tata Engineering,STEEL-002,650
ORD-2024-012,Aditya Builders,CEMENT-001,500
ORD-2024-012,Aditya Builders,SAND-001,1500
ORD-2024-012,Aditya Builders,BRICK-001,3000
ORD-2024-013,Flipmart Retail,PACK-001,2000
ORD-2024-013,Flipmart Retail,PACK-003,600
ORD-2024-014,Ambuja Projects,CONCRETE-002,180
ORD-2024-014,Ambuja Projects,STEEL-003,700
ORD-2024-015,Reliance Stores,CABLE-001,900
ORD-2024-015,Reliance Stores,SWITCH-001,450
ORD-2024-015,Reliance Stores,AUTO-002,300
ORD-2024-016,Bharat Logistics,PALLET-001,220
ORD-2024-016,Bharat Logistics,PALLET-002,180
ORD-2024-017,Vijay Trading,TOOL-003,95
ORD-2024-017,Vijay Trading,MECH-003,250
ORD-2024-018,Delhi Wholesale,PACK-002,750
ORD-2024-018,Delhi Wholesale,PAPER-003,1200
ORD-2024-019,Infosol Pvt Ltd,AUTO-001,45
ORD-2024-019,Infosol Pvt Ltd,PAPER-001,135
ORD-2024-019,Infosol Pvt Ltd,CABLE-002,120
